,address,count,위도,경도
114,서울특별시 영등포구 문래동3가 55-12,7,37.51702,126.89591
115,서울특별시 영등포구 영등포동7가 94-33,7,37.5217337,126.9027814
116,서울특별시 영등포구 여의도동 45-5,6,37.5267088,126.9238
117,서울특별시 영등포구 여의도동 3-3,6,37.5267088,126.9238
118,서울특별시 영등포구 여의도동 28-4,6,37.5267088,126.9238
119,서울특별시 영등포구 여의도동 16-1,6,37.5267088,126.9238
120,서울특별시 영등포구 여의도동 2-4,6,37.5267088,126.9238
121,서울특별시 영등포구 여의도동 45-21,6,37.5267088,126.9238
122,서울특별시 영등포구 여의도동 23-5,6,37.5267088,126.9238
123,서울특별시 영등포구 여의도동 30-3,6,37.5267088,126.9238
124,서울특별시 영등포구 여의도동 44-11,6,37.5267088,126.9238
125,서울특별시 영등포구 양평동4가 281-1,6,37.53689,126.89638
126,서울특별시 영등포구 문래동3가 54-7,6,37.51702,126.89591
127,서울특별시 영등포구 문래동2가 8-1,6,37.5128036,126.8929788
128,서울특별시 영등포구 문래동3가 59-1,6,37.51702,126.89591
129,서울특별시 영등포구 영등포동3가 29,6,37.51811,126.90866
130,서울특별시 영등포구 문래동5가 22-1,6,37.51588,126.88411
131,서울특별시 영등포구 여의도동 37,6,37.5267088,126.9238
132,서울특별시 영등포구 양평동4가 202-1,6,37.53689,126.89638
133,서울특별시 영등포구 영등포동1가 97-4,6,37.51509,126.91423
134,서울특별시 영등포구 영등포동1가 95-1,6,37.51509,126.91423
135,서울특별시 영등포구 여의도동 3-1,6,37.5267088,126.9238
136,서울특별시 영등포구 양평동6가 12-1,6,37.5418285,126.890214
137,서울특별시 영등포구 여의도동 30-2,6,37.5267088,126.9238
138,서울특별시 영등포구 여의도동 10,6,37.5267088,126.9238
139,서울특별시 영등포구 영등포동6가 7-1,6,37.52153,126.90299
